DATE,FPCPITOTLZGMEX
1960-01-01,4.92751886903116
1961-01-01,1.6087596908193
1962-01-01,1.19898417815082
1963-01-01,0.594055008461965
1964-01-01,2.33790317234362
1965-01-01,3.56803865742936
1966-01-01,4.21578837738435
1967-01-01,3.01694847502148
1968-01-01,2.33395093467026
1969-01-01,3.36700336711678
1970-01-01,5.00341205483431
1971-01-01,5.46902899376838
1972-01-01,4.94369236377875
1973-01-01,12.0819394612938
1974-01-01,23.7840154425787
1975-01-01,14.9445346409267
1976-01-01,15.8247224893471
1977-01-01,29.0641247103461
1978-01-01,17.4572925678265
1979-01-01,18.1912462987643
1980-01-01,26.3516513562834
1981-01-01,27.9337625982399
1982-01-01,58.9134198531048
1983-01-01,101.874938435992
1984-01-01,65.4488071277602
1985-01-01,57.7484484008702
1986-01-01,86.2333169923538
1987-01-01,131.82738392309
1988-01-01,114.162258549066
1989-01-01,20.0078767139978
1990-01-01,26.6516725646771
1991-01-01,22.662359455061
1992-01-01,15.5078962533573
1993-01-01,9.75146045357553
1994-01-01,6.96581237191123
1995-01-01,34.9992712889592
1996-01-01,34.3783832235168
1997-01-01,20.6256287259247
1998-01-01,15.9283950119353
1999-01-01,16.5856169707538
2000-01-01,9.49156149435403
2001-01-01,6.36773806235037
2002-01-01,5.03072733151295
2003-01-01,4.54690012118718
2004-01-01,4.68840884843143
2005-01-01,3.98805714597437
2006-01-01,3.62946762439132
2007-01-01,3.96684905458235
2008-01-01,5.12498274575896
2009-01-01,5.29735584228856
2010-01-01,4.15672722680174
2011-01-01,3.40737824605742
2012-01-01,4.11150981070289
2013-01-01,3.80639069747204
2014-01-01,4.01861608078679
2015-01-01,2.72064064964023
2016-01-01,2.8217078474766
2017-01-01,6.04145724018986
2018-01-01,4.89935015356551
2019-01-01,3.63596142127046
2020-01-01,3.39683415570007
2021-01-01,5.68920847683753
2022-01-01,7.8962761916855
